Date,Indian rupee (INR)
1979-11-21,3204.94
1979-11-22,3189.66
1979-11-23,3167.58
1979-11-26,3171.99
1979-11-27,3178.67
1979-11-28,3250.59
1979-11-29,3286.54
1979-11-30,3310.29
1979-12-03,3392.28
1979-12-04,3520.03
1979-12-05,3473.04
1979-12-06,3513.05
1979-12-07,3512.48
1979-12-10,3521.22
1979-12-11,3583.37
1979-12-12,3648.78
1979-12-13,3701.55
1979-12-14,3713.98
1979-12-17,3739.68
1979-12-18,3832.28
1979-12-19,3988.04
1979-12-20,3863.07
1979-12-21,3839.08
1979-12-24,3831.69
1979-12-25,3831.69
1979-12-26,3831.69
1979-12-27,4033.71
1979-12-28,4106.49
1979-12-31,4189.64
1980-01-01,4189.64
1980-01-02,4438.86
1980-01-03,5023.01
1980-01-04,4742.19
1980-01-07,4985.1
1980-01-08,4852.79
1980-01-09,4746.35
1980-01-10,4832.57
1980-01-11,4851.16
1980-01-14,5113.87
1980-01-15,5385.81
1980-01-16,6066.57
1980-01-17,5751.92
1980-01-18,6496.22
1980-01-21,6710.04
1980-01-22,6074.46
1980-01-23,5166.88
1980-01-24,5660.96
1980-01-25,5533.18
1980-01-28,5066.12
1980-01-29,5432.16
1980-01-30,5616.57
1980-01-31,5329.61
1980-02-01,5385.32
1980-02-04,5330.72
1980-02-05,5243.79
1980-02-06,5467.27
1980-02-07,5560.17
1980-02-08,5443.78
1980-02-11,5636.62
1980-02-12,5567.6
1980-02-13,5475.31
1980-02-14,5405.72
1980-02-15,5352.19
1980-02-18,5260.19
1980-02-19,5292.9
1980-02-20,4980.62
1980-02-21,5138.4
1980-02-22,5138.14
1980-02-25,4992.86
1980-02-26,5092.09
1980-02-27,5022.32
1980-02-28,5097.43
1980-02-29,5138.08
1980-03-03,5159.64
1980-03-04,5137.15
1980-03-05,5200.39
1980-03-06,5143.98
1980-03-07,4893.18
1980-03-10,4909.16
1980-03-11,4616.08
1980-03-12,4709.74
1980-03-13,4667.46
1980-03-14,4093.85
1980-03-17,3933.37
1980-03-18,3844.19
1980-03-19,4181.66
1980-03-20,4553.65
1980-03-21,4367.78
1980-03-24,4440.95
1980-03-25,4474.39
1980-03-26,4272.94
1980-03-27,3975.03
1980-03-28,4010.51
1980-03-31,4155.35
1980-04-01,4239.39
1980-04-02,4064.9
1980-04-03,4037.07
1980-04-04,4037.07
1980-04-07,4037.07
1980-04-08,4211.69
1980-04-09,4425.36
1980-04-10,4354.69
1980-04-11,4296.35
1980-04-14,4289.65
1980-04-15,4016.33
1980-04-16,4108.51
1980-04-17,4118.01
1980-04-18,4127.04
1980-04-21,4095.66
1980-04-22,3964.22
1980-04-23,4009.99
1980-04-24,4089.54
1980-04-25,4369.92
1980-04-28,4230.5
1980-04-29,4084.79
1980-04-30,4155.21
1980-05-01,4060.12
1980-05-02,4065.53
1980-05-05,4065.53
1980-05-06,4089.61
1980-05-07,4035.04
1980-05-08,4060.25
1980-05-09,4062.02
1980-05-12,4027.61
1980-05-13,4041.1
1980-05-14,4089.65
1980-05-15,4061.27
1980-05-16,4089.82
1980-05-19,4071.62
1980-05-20,4029.38
1980-05-21,3987.75
1980-05-22,4115.67
1980-05-23,3968.62
1980-05-26,3968.62
1980-05-27,3915.44
1980-05-28,4075.74
1980-05-29,4068.39
1980-05-30,4152.26
1980-06-02,4419.7
1980-06-03,4407.84
1980-06-04,4478.8
1980-06-05,4573.12
1980-06-06,4606.79
1980-06-09,4897.75
1980-06-10,4756.93
1980-06-11,4676.55
1980-06-12,4617.15
1980-06-13,4768.46
1980-06-16,4690.62
